,location_name,location_region,res_date,res_type,res_address,res_price,res_price_sqr,res_sqr,construction_year,levels,bedrooms,bathrooms,deleted,deleted_at,status,energyclass,auto_heating,solar,cooling,safe_door,gas,fireplace,furniture,student,parking,parking_flag,days_up
16020,Αθήνα,Αττική,2021-05-14,Διαμέρισμα,"Αθήνα,Πλατεία Αμερικής",73000,768.0,95.0,1964.0,2ος,3.0,1.0,1,2022-05-12,Άλλη κατάσταση,Η,0,0,0,0,0,0,0,0,,0,363 days
16021,Πειραιάς,Αττική,2022-06-09,Διαμέρισμα,"Πειραιάς,Καστέλα (Προφήτης Ηλίας)",180000,2400.0,75.0,2012.0,3ος,2.0,1.0,1,2022-06-10,Καλή,Δ,0,1,0,0,0,0,0,0,,0,1 days
16022,Άγιοι Ανάργυροι,Αττική,2022-05-24,Διαμέρισμα,"Αθήνα,Αγία Παρασκευή",48000,960.0,50.0,1965.0,1ος,1.0,1.0,0,,Καλή,Ζ,0,0,0,0,0,0,0,0,,0,
16023,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2022-05-08,Μεζονέτα,"Βάρη,Ασύρματος",1300000,4000.0,325.0,2018.0,'Αλλο,4.0,4.0,1,2022-05-12,Νεόδμητο,Β+,0,1,0,0,0,1,0,0,,0,4 days
16024,Κερατσίνι-Δραπετσώνα,Αττική,2021-11-30,Διαμέρισμα,"Κερατσίνι,Άγιος Αντώνιος",85000,944.0,90.0,1980.0,3ος,2.0,1.0,1,2022-06-10,Άλλη κατάσταση,Εκρεμμεί,1,0,0,0,0,0,0,0,,0,192 days
16025,Βάρη - Βούλα - Βουλιαγμένη,Αττική,2022-02-15,Μεζονέτα,"Ελληνικό,Κάτω Ελληνικό",1200000,4000.0,300.0,2007.0,Ισόγειο,4.0,3.0,1,2022-03-31,Καλή,Γ,1,0,0,0,0,0,0,0,,0,44 days
16026,Αθήνα,Αττική,2022-05-20,Διαμέρισμα,"Αθήνα,Μεταξουργείο",80000,1600.0,50.0,1970.0,4ος,1.0,1.0,1,2022-06-02,Ανακαινισμένο,Α,0,0,1,1,0,0,0,0,,0,13 days
16027,Νέα Σμύρνη,Αττική,2022-03-27,Μονοκατοικία,"Αθήνα,Κυνοσάργους",320000,3556.0,90.0,1952.0,Ισόγειο,2.0,1.0,1,2022-05-07,Ανακαινισμένο,Ε,1,0,0,0,0,0,0,0,,0,41 days
16028,Αθήνα,Αττική,2022-03-25,Διαμέρισμα,"Αθήνα,Πολύγωνο",150000,2083.0,72.0,1999.0,1ος,2.0,1.0,1,2022-03-26,,Β+,1,0,0,1,0,0,0,0,,0,1 days
16029,Αθήνα,Αττική,2022-04-12,Διαμέρισμα,"Αθήνα,Κουκάκι",320000,3265.0,98.0,1980.0,Ισόγειο,2.0,1.0,1,2022-04-14,Καλή,Ζ,0,0,0,0,0,0,0,0,,0,2 days
16030,Μαρούσι,Αττική,2022-04-07,Διαμέρισμα,"Μαρούσι,Άλσος Κτήματος Συγγρού",350000,2381.0,147.0,1980.0,4ος,3.0,1.0,1,2022-04-08,Ανακαινισμένο,Εκρεμμεί,0,0,0,0,1,1,0,0,,0,1 days
16031,Αχαρνές,Αττική,2022-03-23,Μονοκατοικία,"Νέα Ερυθραία,Κέντρο",2200000,2696.0,816.0,1977.0,'Αλλο,5.0,,1,2022-03-24,Καλή,Ζ,0,1,1,1,0,1,1,0,,0,1 days
16032,Διόνυσος,Αττική,2021-11-02,Μονοκατοικία,Εκάλη,2500000,1214.0,2060.0,2012.0,Ισόγειο,4.0,5.0,1,2022-03-24,Ημιτελές,Μη αποδοτικό,1,0,0,1,0,1,0,0,Κλειστό parking,1,142 days
16033,Αργυρούπολη,Αττική,2021-12-21,Μονοκατοικία,"Ελληνικό,Άνω Σούρμενα",435000,1959.0,222.0,1983.0,Ισόγειο,5.0,3.0,1,2022-03-31,Ανακαινισμένο,Δ,1,1,1,0,0,0,0,0,,0,100 days
